element,isotope,mass,abundance,ratioC,Mass_Dif,unsaturation
H,1H,1.007825032,1,6,0,-0.5
[2]H,2H,2.014101778,0.000115013,6,1.006276746,-0.5
[3]He,3He,3.016029319,1.34E-06,0,-0.986573935,0
He,4He,4.002603254,1,0,0,0
[6]Li,6Li,6.0151223,0.082133968,0,-1.0008818,-0.5
Li,7Li,7.0160041,1,0,0,-0.5
Be,9Be,9.0121822,1,0,0,-1
[10]B,10B,10.0129371,0.248439451,0,-0.9963684,0.5
B,11B,11.0093055,1,0,0,0.5
C,12C,12,1,0,0,1
[13]C,13C,13.00335484,0.010815728,0,1.00335484,1
N,14N,14.00307401,1,4,0,0.5
[15]N,15N,15.00010897,0.003653298,4,0.99703496,0.5
O,16O,15.99491462,1,3,0,0
[17]O,17O,16.9991315,0.000380926,3,1.00421688,0
[18]O,18O,17.9991604,0.002054994,3,2.00424578,0
F,19F,18.9984032,1,6,0,-0.5
Ne,20Ne,19.99244018,1,0,0,0
[21]Ne,21Ne,20.99384668,0.002984085,0,1.0014065,0
[22]Ne,22Ne,21.99138511,0.102232538,0,1.99894493,0
Na,23Na,22.98976966,1,0,0,-0.5
Mg,24Mg,23.98504187,1,0,0,-1
[25]Mg,25Mg,24.985837,0.126598304,0,1.00079513,-1
[26]Mg,26Mg,25.982593,0.139384732,0,1.99755113,-1
Al,27Al,26.98153863,1,0,0,-1.5
Si,28Si,27.97692649,1,1,0,1
[29]Si,29Si,28.97649468,0.050800776,1,0.99956819,1
[30]Si,30Si,29.97377018,0.033527428,1,1.99684369,1
P,31P,30.97376149,1,2,0,0.5
S,32S,31.97207073,1,3,0,0
[33]S,33S,32.97145854,0.007895568,3,0.99938781,0
[34]S,34S,33.96786687,0.044741552,3,1.99579614,0
[36]S,36S,35.96708088,0.000105274,3,3.99501015,0
Cl,35Cl,34.96885271,1,2,0,-0.5
[37]Cl,37Cl,36.9659026,0.319957761,2,1.99704989,-0.5
[36]Ar,36Ar,35.96754511,0.003378504,0,-3.99483801,0
[38]Ar,38Ar,37.9627324,0.000634536,0,-1.99965072,0
Ar,40Ar,39.96238312,1,0,0,0
K,39K,38.9637069,1,0,0,-0.5
[40]K,40K,39.96399867,0.000125458,0,1.00029177,-0.5
[41]K,41K,40.96182597,0.072167458,0,1.99811907,-0.5
Ca,40Ca,39.9625912,1,0,0,-1
[42]Ca,42Ca,41.9586183,0.006674163,0,1.9960271,-1
[43]Ca,43Ca,42.9587668,0.0013926,0,2.9961756,-1
[44]Ca,44Ca,43.9554811,0.021518243,0,3.9928899,-1
[46]Ca,46Ca,45.9536927,4.13E-05,0,5.9911015,-1
[48]Ca,48Ca,47.952533,0.001929008,0,7.9899418,-1
Sc,45Sc,44.9559119,1,0,0,0
[46]Ti,46Ti,45.9526316,0.111909929,0,-1.9953147,0
[47]Ti,47Ti,46.9517631,0.100922409,0,-0.9961832,0
Ti,48Ti,47.9479463,1,0,0,0
[49]Ti,49Ti,48.94787,0.073385784,0,0.9999237,0
[50]Ti,50Ti,49.9447912,0.070265871,0,1.9968449,0
[50]V,50V,49.9471585,0.002506266,0,-0.996801,0
V,51V,50.9439595,1,0,0,0
[50]Cr,50Cr,49.9460442,0.051856449,0,-1.9944633,0
Cr,52Cr,51.9405075,1,0,0,0
[53]Cr,53Cr,52.9406494,0.113391973,0,1.0001419,0
[54]Cr,54Cr,53.9388804,0.028225662,0,1.9983729,0
Mn,55Mn,54.9380451,1,0,0,0
[54]Fe,54Fe,53.9396147,0.063702945,0,-1.9953271,0
Fe,56Fe,55.9349418,1,0,0,0
[57]Fe,57Fe,56.9353983,0.023094361,0,1.0004565,0
[58]Fe,58Fe,57.9332801,0.003073435,0,1.9983383,0
Co,59Co,58.933195,1,0,0,0
Ni,58Ni,57.9353429,1,0,0,-1
[60]Ni,60Ni,59.9307864,0.38519821,0,1.9954435,-1
[61]Ni,61Ni,60.931056,0.016744299,0,2.9957131,-1
[62]Ni,62Ni,61.9283451,0.053388154,0,3.9930022,-1
[64]Ni,64Ni,63.927966,0.013596389,0,5.9926231,-1
Cu,63Cu,62.9295975,1,0,0,0
[65]Cu,65Cu,64.9277895,0.446131598,0,1.998192,0
Zn,64Zn,63.9291422,1,0,0,0
[66]Zn,66Zn,65.9260334,0.579576531,0,1.9968912,0
[67]Zn,67Zn,66.9271273,0.08498384,0,2.9979851,0
[68]Zn,68Zn,67.9248442,0.394132759,0,3.995702,0
[70]Zn,70Zn,69.9253193,0.013072843,0,5.9961771,0
Ga,69Ga,68.9255736,1,0,0,0
[71]Ga,71Ga,70.9247013,0.663672057,0,1.9991277,0
[70]Ge,70Ge,69.9242474,0.555010893,0,-3.9969304,0
[72]Ge,72Ge,71.9220758,0.743736383,0,-1.999102,0
[73]Ge,73Ge,72.9234589,0.211328976,0,-0.9977189,0
Ge,74Ge,73.9211778,1,0,0,0
[76]Ge,76Ge,75.9214026,0.213235294,0,2.0002248,0
As,75As,74.9215965,1,0,0,0
[74]Se,74Se,73.9224764,0.017939931,0,-5.9940449,0
[76]Se,76Se,75.9192136,0.188873211,0,-3.9973077,0
[77]Se,77Se,76.919914,0.153799637,0,-2.9966073,0
[78]Se,78Se,77.9173091,0.479137271,0,-1.9992122,0
Se,80Se,79.9165213,1,0,0,0
[82]Se,82Se,81.9166994,0.175972586,0,2.0001781,0
Br,79Br,78.9183379,1,2,0,-0.5
[81]Br,81Br,80.916291,0.972775695,2,1.9979531,-0.5
[78]Kr,78Kr,77.9203648,0.006229491,0,-5.9911422,0
[80]Kr,80Kr,79.916379,0.040114412,0,-3.995128,0
[82]Kr,82Kr,81.9134836,0.203432362,0,-1.9980234,0
[83]Kr,83Kr,82.914136,0.201800411,0,-0.997371,0
Kr,84Kr,83.911507,1,0,0,0
[86]Kr,86Kr,85.91061073,0.303209504,0,1.99910373,0
Rb,85Rb,84.91178974,1,0,0,0
[87]Rb,87Rb,86.90918053,0.385617293,0,1.99739079,0
[84]Sr,84Sr,83.913425,0.006781303,0,-3.9921871,0
[86]Sr,86Sr,85.9092602,0.11939937,0,-1.9963519,0
[87]Sr,87Sr,86.9088771,0.084766287,0,-0.996735,0
Sr,88Sr,87.9056121,1,0,0,0
Y,89Y,88.9058483,1,0,0,0
Zr,90Zr,89.9047044,1,0,0,0
[91]Zr,91Zr,90.9056458,0.218075802,0,1.0009414,0
[92]Zr,92Zr,91.9050408,0.333333333,0,2.0003364,0
[94]Zr,94Zr,93.9063152,0.337803693,0,4.0016108,0
[96]Zr,96Zr,95.9082734,0.054421769,0,6.003569,0
Nb,93Nb,92.9063781,1,0,0,0
[92]Mo,92Mo,91.906811,0.610582885,0,-5.9985972,0
[94]Mo,94Mo,93.9050883,0.381562629,0,-4.0003199,0
[95]Mo,95Mo,94.9058421,0.657296403,0,-2.9995661,0
[96]Mo,96Mo,95.9046795,0.689541133,0,-2.0007287,0
[97]Mo,97Mo,96.9060215,0.39520463,0,-0.9993867,0
Mo,98Mo,97.9054082,1,0,0,0
[100]Mo,100Mo,99.90747,0.399751964,0,2.0020618,0
[96]Ru,96Ru,95.907598,0.175594295,0,-5.9967513,0
[98]Ru,98Ru,97.905287,0.059270998,0,-3.9990623,0
[99]Ru,99Ru,98.9059393,0.404437401,0,-2.99841,0
[100]Ru,100Ru,99.9042195,0.399366086,0,-2.0001298,0
[101]Ru,101Ru,100.9055821,0.540729002,0,-0.9987672,0
Ru,102Ru,101.9043493,1,0,0,0
[104]Ru,104Ru,103.905433,0.590174326,0,2.0010837,0
Rh,103Rh,102.905504,1,0,0,0
[102]Pd,102Pd,101.905609,0.037321625,0,-3.997877,0
[104]Pd,104Pd,103.904036,0.407610684,0,-1.99945,0
[105]Pd,105Pd,104.905085,0.81705086,0,-0.998401,0
Pd,106Pd,105.903486,1,0,0,0
[108]Pd,108Pd,107.903892,0.96816685,0,2.000406,0
[110]Pd,110Pd,109.905153,0.428832784,0,4.001667,0
Ag,107Ag,106.905097,1,0,0,0
[109]Ag,109Ag,108.904752,0.929049557,0,1.999655,0
[106]Cd,106Cd,105.906459,0.043508528,0,-7.9968995,0
[108]Cd,108Cd,107.904184,0.030978072,0,-5.9991745,0
[110]Cd,110Cd,109.9030021,0.434737208,0,-4.0003564,0
[111]Cd,111Cd,110.9041781,0.445527323,0,-2.9991804,0
[112]Cd,112Cd,111.9027578,0.839888618,0,-2.0006007,0
[113]Cd,113Cd,112.9044017,0.425339367,0,-0.9989568,0
Cd,114Cd,113.9033585,1,0,0,0
[116]Cd,116Cd,115.904756,0.260703098,0,2.0013975,0
[113]In,113In,112.904058,0.044822903,0,-1.99982,0
In,115In,114.903878,1,0,0,0
[112]Sn,112Sn,111.904818,0.029772867,0,-7.9973767,0
[114]Sn,114Sn,113.902779,0.020257827,0,-5.9994157,0
[115]Sn,115Sn,114.903342,0.01043585,0,-4.9988527,0
[116]Sn,116Sn,115.901741,0.446286065,0,-4.0004537,0
[117]Sn,117Sn,116.902952,0.23572744,0,-2.9992427,0
[118]Sn,118Sn,117.901603,0.743400859,0,-2.0005917,0
[119]Sn,119Sn,118.903308,0.263658686,0,-0.9988867,0
Sn,120Sn,119.9021947,1,0,0,0
[122]Sn,122Sn,121.903439,0.142111725,0,2.0012443,0
[124]Sn,124Sn,123.9052739,0.17771639,0,4.0030792,0
Sb,121Sb,120.9038157,1,0,0,0
[123]Sb,123Sb,122.904214,0.747946163,0,2.0003983,0
[120]Te,120Te,119.90402,0.002640845,0,-10.0022044,0
[122]Te,122Te,121.9030439,0.074823944,0,-8.0031805,0
[123]Te,123Te,122.90427,0.026115023,0,-7.0019544,0
[124]Te,124Te,123.9028179,0.139084507,0,-6.0034065,0
[125]Te,125Te,124.9044307,0.207453052,0,-5.0017937,0
[126]Te,126Te,125.9033117,0.552816901,0,-4.0029127,0
[128]Te,128Te,127.9044631,0.931338028,0,-2.0017613,0
Te,130Te,129.9062244,1,0,0,0
I,127I,126.904473,1,0,0,-0.5
[124]Xe,124Xe,123.905893,0.003537902,0,-7.9982605,0
[126]Xe,126Xe,125.904274,0.003307493,0,-5.9998795,0
[128]Xe,128Xe,127.9035313,0.070988457,0,-4.0006222,0
[129]Xe,129Xe,128.9047794,0.981121277,0,-2.9993741,0
[130]Xe,130Xe,129.903508,0.151289922,0,-2.0006455,0
[131]Xe,131Xe,130.9050824,0.789056287,0,-0.9990711,0
Xe,132Xe,131.9041535,1,0,0,0
[134]Xe,134Xe,133.9053945,0.387820251,0,2.001241,0
[136]Xe,136Xe,135.907219,0.329162424,0,4.0030655,0
Cs,133Cs,132.9054519,1,0,0,0
[130]Ba,130Ba,129.9063208,0.001478423,0,-7.9989264,0
[132]Ba,132Ba,131.9050613,0.001408686,0,-6.0001859,0
[134]Ba,134Ba,133.9045084,0.033710843,0,-4.0007388,0
[135]Ba,135Ba,134.9056886,0.091941198,0,-2.9995586,0
[136]Ba,136Ba,135.9045759,0.109542805,0,-2.0006713,0
[137]Ba,137Ba,136.9058274,0.156657089,0,-0.9994198,0
Ba,138Ba,137.9052472,1,0,0,0
[138]La,138La,137.907112,0.000900811,0,-0.9992413,0
La,139La,138.9063533,1,0,0,0
[136]Ce,136Ce,135.907172,0.002091577,0,-3.9982667,0
[138]Ce,138Ce,137.905991,0.002837761,0,-1.9994477,0
Ce,140Ce,139.9054387,1,0,0,0
[142]Ce,142Ce,141.909244,0.125652911,0,2.0038053,0
Pr,141Pr,140.9076528,1,0,0,0
Nd,142Nd,141.9077233,1,0,0,0
[143]Nd,143Nd,142.9098143,0.448529412,0,1.002091,0
[144]Nd,144Nd,143.9100873,0.875,0,2.002364,0
[145]Nd,145Nd,144.9125736,0.305147059,0,3.0048503,0
[146]Nd,146Nd,145.9131169,0.632352941,0,4.0053936,0
[148]Nd,148Nd,147.916893,0.209558824,0,6.0091697,0
[150]Nd,150Nd,149.920891,0.205882353,0,8.0131677,0
[144]Sm,144Sm,143.911999,0.114766355,0,-8.0077334,0
[147]Sm,147Sm,146.9148979,0.560373832,0,-5.0048345,0
[148]Sm,148Sm,147.9148227,0.420186916,0,-4.0049097,0
[149]Sm,149Sm,148.9171847,0.516635514,0,-3.0025477,0
[150]Sm,150Sm,149.9172755,0.27588785,0,-2.0024569,0
Sm,152Sm,151.9197324,1,0,0,0
[154]Sm,154Sm,153.9222093,0.85046729,0,2.0024769,0
[151]Eu,151Eu,150.9198502,0.916075877,0,-2.0013801,0
Eu,153Eu,152.9212303,1,0,0,0
[152]Gd,152Gd,151.919791,0.00805153,0,-6.0043129,0
[154]Gd,154Gd,153.9208656,0.087761675,0,-4.0032383,0
[155]Gd,155Gd,154.922622,0.595813205,0,-3.0014819,0
[156]Gd,156Gd,155.9221227,0.824074074,0,-2.0019812,0
[157]Gd,157Gd,156.9239601,0.630032206,0,-1.0001438,0
Gd,158Gd,157.9241039,1,0,0,0
[160]Gd,160Gd,159.9270541,0.880032206,0,2.0029502,0
Tb,159Tb,158.9253468,1,0,0,0
[156]Dy,156Dy,155.924283,0.001981599,0,-8.0048918,0
[158]Dy,158Dy,157.924409,0.003361642,0,-6.0047658,0
[160]Dy,160Dy,159.9251975,0.082413305,0,-4.0039773,0
[161]Dy,161Dy,160.9269334,0.668400566,0,-3.0022414,0
[162]Dy,162Dy,161.9267984,0.901450814,0,-2.0023764,0
[163]Dy,163Dy,162.9287312,0.880962491,0,-1.0004436,0
Dy,164Dy,163.9291748,1,0,0,0
Ho,165Ho,164.9303221,1,0,0,0
[162]Er,162Er,161.928778,0.004148882,0,-4.0015151,0
[164]Er,164Er,163.9292,0.047786765,0,-2.0010931,0
Er,166Er,165.9302931,1,0,0,0
[167]Er,167Er,166.9320482,0.682595588,0,1.0017551,0
[168]Er,168Er,167.9323702,0.805241322,0,2.0020771,0
[170]Er,170Er,169.9354643,0.445034773,0,4.0051712,0
Tm,169Tm,168.9342133,1,0,0,0
[168]Yb,168Yb,167.933897,0.004084197,0,-6.0049651,0
[170]Yb,170Yb,169.9347618,0.095507383,0,-4.0041003,0
[171]Yb,171Yb,170.9363258,0.448633365,0,-3.0025363,0
[172]Yb,172Yb,171.9363815,0.685830977,0,-2.0024806,0
[173]Yb,173Yb,172.9382108,0.506754634,0,-1.0006513,0
Yb,174Yb,173.9388621,1,0,0,0
[176]Yb,176Yb,175.9425717,0.400879673,0,2.0037096,0
Lu,175Lu,174.9407718,1,0,0,0
[176]Lu,176Lu,175.9426863,0.026588646,0,1.0019145,0
[174]Hf,174Hf,173.940046,0.004561003,0,-6.006504,0
[176]Hf,176Hf,175.9414086,0.149942987,0,-4.0051414,0
[177]Hf,177Hf,176.9432207,0.530216648,0,-3.0033293,0
[178]Hf,178Hf,177.9436988,0.777651083,0,-2.0028512,0
[179]Hf,179Hf,178.9458161,0.388255416,0,-1.0007339,0
Hf,180Hf,179.94655,1,0,0,0
[180]Ta,180Ta,179.9474648,0.000120014,0,-1.000531,0
Ta,181Ta,180.9479958,1,0,0,0
[180]W,180W,179.946704,0.003916449,0,-4.0042272,0
[182]W,182W,181.9482042,0.864882507,0,-2.002727,0
[183]W,183W,182.950223,0.467036554,0,-1.0007082,0
W,184W,183.9509312,1,0,0,0
[186]W,186W,185.9543641,0.927872063,0,2.0034329,0
[185]Re,185Re,184.952955,0.597444089,0,-2.0027981,0
Re,187Re,186.9557531,1,0,0,0
[184]Os,184Os,183.9524891,0.000490436,0,-8.0089916,0
[186]Os,186Os,185.9538382,0.038989701,0,-6.0076425,0
[187]Os,187Os,186.9557505,0.048062776,0,-5.0057302,0
[188]Os,188Os,187.9558382,0.324668955,0,-4.0056425,0
[189]Os,189Os,188.9581475,0.396027464,0,-3.0033332,0
[190]Os,190Os,189.958447,0.643943109,0,-2.0030337,0
Os,192Os,191.9614807,1,0,0,0
[191]Ir,191Ir,190.960594,0.594896332,0,-2.0023324,0
Ir,193Ir,192.9629264,1,0,0,0
[190]Pt,190Pt,189.959932,0.000413809,0,-5.0048591,0
[192]Pt,192Pt,191.961038,0.023114211,0,-3.0037531,0
[194]Pt,194Pt,193.9626803,0.97443249,0,-1.0021108,0
Pt,195Pt,194.9647911,1,0,0,0
[196]Pt,196Pt,195.9649515,0.746098368,0,1.0001604,0
[198]Pt,198Pt,197.967893,0.211722629,0,3.0031019,0
Au,197Au,196.9665687,1,0,0,0
[196]Hg,196Hg,195.965833,0.005023443,0,-6.00481,0
[198]Hg,198Hg,197.966769,0.333891494,0,-4.003874,0
[199]Hg,199Hg,198.9682799,0.564969859,0,-3.0023631,0
[200]Hg,200Hg,199.968326,0.773610181,0,-2.002317,0
[201]Hg,201Hg,200.9703023,0.441393168,0,-1.0003407,0
Hg,202Hg,201.970643,1,0,0,0
[204]Hg,204Hg,203.9734939,0.230073677,0,2.0028509,0
[203]Tl,203Tl,202.9723442,0.418842225,0,-2.0020833,0
Tl,205Tl,204.9744275,1,0,0,0
[204]Pb,204Pb,203.9730436,0.026717557,0,-4.0036085,0
[206]Pb,206Pb,205.9744653,0.459923664,0,-2.0021868,0
[207]Pb,207Pb,206.9758969,0.421755725,0,-1.0007552,0
Pb,208Pb,207.9766521,1,0,0,0
Bi,209Bi,208.9803987,1,0,0,0
Th,232Th,232.0380553,1,0,0,0
Pa,231Pa,231.035884,1,0,0,0
[234]U,234U,234.0409521,5.44E-05,0,-4.0098361,0
[235]U,235U,235.0439299,0.007256669,0,-3.0068583,0
U,238U,238.0507882,1,0,0,0
